Sr. No,"Regulations/
Standards",Observation,Recommendation,Priority,Asset Category,Location,Type of Hazard,Element,Image,Priority_Score,Hazard_Fire,Hazard_Shock,Hazard_Security,Hazard_Material,Hazard_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazard_Weight_Sum,Risk_Score
50,Good Engineering Practice,Gas line hose to be moved away from the burner.,"Re route the gas hose to maintain a safe clearance from the burner flame and hot surfaces to prevent melting, fire, or gas leakage. Use heat resistant, certified gas hoses compliant with applicable gas safety codes.",LOW,Gas Stove,Canteen,FIRE,Maintenance Complication,/content/word_images/50_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
51,IS 3043,Flange bonding to be provided. Integrity to be verified.,"Install flange bonding jumpers across all insulated or non conductive flanged joints in pipelines carrying flammable, explosive, or static prone materials. Perform electrical continuity tests across bonded flanges as part of periodic maintenance.",MEDIUM,Flanges,Canteen,FIRE,Design & Engineering,/content/word_images/51_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
52,"IEC 60079-29-2
Clause 6.2.4.1",LPG detector to be provided.,"Assess the area where LPG is stored, handled, or used. Identify hazardous zones (Zone 1 or Zone 2). Since LPG is heavier than air, leakage will settle near the ground — detectors must be installed accordingly.",NONE,Detector,Canteen,-,-,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
53,NFPA 13,Sprinklers available near to the light fittings.,"Ensure a minimum horizontal clearance between sprinkler heads and electrical fixtures. If relocation is not possible, replace existing light fixtures with moisture resistant, fully enclosed fittings.",MEDIUM,Sprinkler,Canteen,FIRE/SHOCK,Design & En gineering,,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
54,IEC 60079,LPG Hose line valve observed damaged,"Isolate the gas supply feeding the damaged valve immediately to eliminate the risk of gas leakage. Notify both maintenance and fire & gas safety teams without delay. Ensure the new valve is of anti static, corrosion resistant material.",MEDIUM,Hose,Canteen,FIRE,Maintenance Complication,/content/word_images/54_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
55,IEC 60079-1,Obstruction near Gas shutoff valve,"Remove any physical obstruction (tools, materials, equipment, structural elements, etc.) near the Gas Hose 5 valve to allow: Safe and quick access for emergency shutdown. Routine maintenance without delay or risk. Ensure a clear approach path of at least 1 meter radius around critical gas valves.",MEDIUM,Valve,Canteen,FIRE,Maintenance Complication,/content/word_images/55_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
56,IS 3043,No earth is provided inside canteen office socket.,Install an independent earth conductor to the socket point from the nearest earth busbar or earth pit. Ensure the earth conductor: Is of adequate size (minimum 2.5 mm² Cu for socket circuits). Has continuous continuity from socket to earth electrode. Is properly terminated on the earth terminal of the socket and distribution board.,MEDIUM,Socket,Canteen,SHOCK,Design & Engineering,,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
57,CEA MSES 2023 Reg 21,No Double insulated tool observed.,"If the tool is repairable (e.g., replaceable outer shell or cord), it must: Be repaired only by qualified personnel, Use manufacturer approved parts, and Be tested for insulation resistance before being returned to service. If the tool cannot be safely repaired: Permanently decommission and dispose of it as per the organization's electrical equipment disposal policy.",HIGH,Tools,Canteen,SHOCK,Maintenance Complication,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
58,National Building Code 2016 – Part 4,Fire Pump House Hooters to be provided for pump on Communication.,Provide audible hooters near the pump to alert personnel that the pump is starting or has started via remote communication. The hooter should activate prior to or simultaneously with pump start.,MEDIUM,Pump,Fire pump house,FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
59,"NPFA 20 
IS 15301
IS 3844",Pump panel (main pump) in off condition.,"A fire or safety critical pump, the panel must never be left OFF under normal conditions. Switch ON the pump panel immediately after verifying: Electrical health (no faults, no overloads), Proper mechanical readiness, No maintenance work is ongoing. If the OFF condition is intentional (e.g., maintenance), ensure: A valid work permit is active, Lockout Tagout (LOTO) procedures are followed.",MEDIUM,Pump,Fire pump house,FIRE,Maintenance Complication,/content/word_images/59_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
60,Good Engineering Practice,Battery Charger to be relocated.,"Ensure a minimum clearance of 1.2 meters from the fire pump electrical panel. Relocating the battery mitigates the risk of fire, corrosion, electrical faults, and ensures compliance with fire safety and electrical clearance standards. It also helps in the proper maintenance and accessibility of both battery and fire pump control systems.",LOW,Battery,Fire pump house,FIRE,Maintenance Complication,/content/word_images/60_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
61,IEC 60079-1,Diesel Day tank PVC Level hose to be replaced with glass type.,Replace the existing PVC level hose with a borosilicate glass type level indicator.,MEDIUM,Diesel Tank,Fire pump house,FIRE,Design & Engineering,/content/word_images/61_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
62,Good Engineering Practice,Pressure Gauge Calibration passing with Date of Validity to be provided.,"All pressure gauges used in safety critical systems must be: Calibrated at specified intervals (typically every 6 to 12 months, depending on usage and criticality). Calibrated against a master instrument traceable to standards. Affix a calibration sticker on or near the pressure gauge with the following details: Instrument ID. Last calibration date. Next due date Calibrated by (agency/technician name or initials). ""OK"" status if passed.",LOW,Guage,Fire pump house,FIRE,Maintenance Complication,/content/word_images/62_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
63,CEA MSES 2023 Reg 43,Main Hydrant and Jockey pumps with single earthing.,"Install two independent earth conductors from the motor body to the main earth grid. Earthing should be: Of adequate size (minimum 2.5 mm² CU or equivalent Al, depending on motor size). Properly lugged and bolted at both ends. Mechanically protected.",HIGH,Motor,Fire pump house,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
64,Good Engineering Practice,Fire Room is stored with materials / other related storage.,"Clear all materials immediately from the fire pump room. Ensure zero storage policy is enforced in: Fire pump rooms, Sprinkler valve rooms, Electrical panels within fire control rooms.",LOW,Material,Fire pump house,FIRE,House keeping,/content/word_images/64_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
65,IS 15652,Fire pump room Electrical panel rubber mat to be replaced.,"Remove any damaged, worn out, cracked, or non IS compliant rubber mats from the fire pump electrical panel area. Ensure mats are ISI marked, with the manufacturer name, batch number, IS standard, and test date embossed or printed on them.",MEDIUM,Mat,Fire pump house,SHOCK,Maintenance Complication,/content/word_images/65_obs.jpeg,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
66,CEA 2023 MSES Reg 51(i),UPS Room Ventilation to be improved.,"Install exhaust fans + fresh air inlets to achieve air changes as per load. For high capacity UPS systems, install a dedicated air conditioning unit with temperature control.",HIGH,UPS,UPS Room,FIRE,Design & Engineering,/content/word_images/66_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
67,CEA 2023 MSES Reg 14,Admin Block Avoid socket point near water sink.,"Immediately relocate the socket outlet to maintain a safe horizontal clearance of at least 1.2 meters (4 feet) from the edge of the sink or water source. In rare cases where the socket must remain, implement the following: Replace with a weatherproof socket (minimum IP55/IP65), Ensure it is protected by a Residual Current Device (RCD) with 30 mA sensitivity, Add a protective cover that prevents accidental water spray/contact.",HIGH,Socket,MCC Admin Block,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
68,Good Engineering Practice,Oil Lamp observed surrounded with combustible material.,"If religious or cultural practices require their use, consider electric alternatives (LED lamps) instead.",MEDIUM,Lamp,MCC Admin Block,FIRE,System Deviation,/content/word_images/68_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
69,CEA 2023 MSES Reg 21.5,Panel Rear side identifications are missing.,"All electrical panels must have permanent, legible identification labels on both the front and rear sides. Label should include: Panel name/ID (e.g., “PDB 1”, “UPS Panel”, “Main LT Panel”). Voltage level. Source feeder details (e.g., ""Fed from TPN DB 2""). Panel function or load served.",HIGH,Panel,MCC Admin Block,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
70,NBC 2016 Part 4,Fire door shall be provided.,"Provide a certified fire rated door in the concerned area. Specifications should include Fire resistance rating: Minimum 2 hours (120 minutes) for electrical rooms, pump rooms, and high risk zones.",MEDIUM,Doors,MCC Admin Block,FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
71,CEA 2023 MSES Reg 44,BV Ramesh cabin Earthing is missing for socket.,"Immediately connect the socket’s earth terminal to the system’s grounding network. Ensure the earthing conductor is: Of adequate size. Continuously bonded to the main earth bar or earth pit, Mechanically and electrically secure.",HIGH,Socket,Office GR,SHOCK,Maintenance Complications,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
72,CEA 2023 MSES Reg 44,SCM Head cabin socket Earth loose.,"Tighten the earth wire connection securely using proper tools to ensure a solid, low resistance connection. Perform an earth continuity test to verify that the earth conductor is intact and provides a low resistance path.",HIGH,Socket,Office GR,SHOCK,Maintenance Complications,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
73,CEA 2023 MSES Reg 51,Work Station power cable routed inside the wooden compartment.,Do not run power cables directly inside or through wooden compartments without mechanical and thermal protection. Replace or re route the existing cable inside: Rigid PVC conduit. Flexible conduit. Metallic trunking or raceways for improved fire resistance. Conduit must run inside the wooden compartment to isolate cable from flammable surfaces.,HIGH,Cable,Office-1st floor,FIRE,Maintenance Complication,/content/word_images/73_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
74,CEA 2023 MSES Reg 44,Cashier room socket earthing missing.,Connect the socket’s earth terminal to the main earthing system using a dedicated copper earth wire. Ensure: Minimum conductor size: ≥ 1.5 mm² copper. Secure and low resistance connection to the earthing bus bar or pit. Conduct an Earth Continuity Test to ensure the earth path is intact.,HIGH,Socket,Office-1st floor,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
75,CEA 2023 MSES Reg 44,Replace 100 mA RCCB with 30 mA.,"A 30 mA RCCB is designed to trip quickly and disconnect the supply when a leakage current ≥ 30 mA is detected — a level potentially dangerous to humans. 100 mA RCCBs are generally used for fire protection, not for direct human shock protection.",HIGH,Socket,Finance Server Room,SHOCK,Design & Engineering,/content/word_images/75_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
76,IS 2189,Smoke detectors observed missing.,"Provide photoelectric smoke detectors, which are highly effective in detecting slow developing, soldering fires typically caused by electrical equipment.",MEDIUM,Detector,Finance Server Room,FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
77,CEA 2023 MSES Reg 43,Spike Board with Earthing & RCCB observed missing.,"Only ISI certified spike boards with 3 pin plug and sockets should be used. Ensure the earth pin of every socket is connected and functional, and the power cord includes a dedicated earth conductor. Avoid spike boards with 2 pin plugs, as they offer no earthing protection. Use a 30 mA RCCB either: Built into the spike board, or Connected externally at the supply point.",HIGH,Socket,IT Department,SHOCK,Design & Engineering,/content/word_images/77_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
78,CEA 2023 MSES Reg 43,Spike board with Phase Neutral reverse.,Disconnect and label the spike board as unsafe to prevent further usage. Remove it from service until the wiring fault is corrected and verified. Ensure proper wiring of the spike board plug and internal connections. Ensure proper wiring of the spike board plug and internal connections.,HIGH,Socket,IT Department,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
79,CEA 2023 MSES Reg 43,RCCB not working as employee experience may shock.,Disconnect and tag the faulty RCCB as unsafe. Replace it with a new ISI marked RCCB. Recommended sensitivity for personal protection: 30 mA RCCB (not 100 mA or higher). Perform manual testing monthly using the built in test (T) button.,HIGH,Socket,IT Department,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
80,CEA 2023 MSES Reg 43,Perfumer earth loose connected.,"Locate the earthing terminal or conductor related to the perfumer equipment. Tighten all bolts, nuts, and clamps to ensure a firm, stable connection without any movement. Perform an earth continuity test between the equipment and the main earth busbar.",HIGH,Socket,Plant Head Room,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
81,CEA 2023 MSES Reg 43,Bath Room socket with phase neutral reverse.,"Disconnect power supply to the socket to prevent any shock hazards. Label the socket as “Do Not Use” until corrected. Rewire the socket ensuring: Phase (Live) conductor connected to the correct terminal (usually right side when facing the socket), Neutral conductor connected properly (left side), Earth terminal connected securely. Use a polarity tester or socket tester to verify correct wiring after repair.",HIGH,Socket,Plant Head Room,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
82,CEA 2023 MSES Reg 43,FF Office pantry socket with phase neutral reverse.,"Disconnect power supply to the socket to prevent any shock hazards. Label the socket as “Do Not Use” until corrected. Rewire the socket ensuring: Phase (Live) conductor connected to the correct terminal (usually right side when facing the socket), Neutral conductor connected properly (left side), Earth terminal connected securely. Use a polarity tester or socket tester to verify correct wiring after repair.",HIGH,Socket,IE & PE department,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
83,CEA 2023 MSES Reg 43,FF office pantry DB with 100 mA RCCB,"For personal protection against electric shock, especially in areas like pantries where water is present, 30 mA RCCB sensitivity is recommended. 100 mA RCCBs are typically used for fire protection but are insufficient to protect against low level leakage currents causing shock.",HIGH,Socket,IE & PE department,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
84,CEA 2023 MSES Reg 51,Wooden Board to hold DB inside.,"Wooden boards are combustible and can increase fire risk if the DB overheats or in case of electrical faults. Prefer mounting DBs on non combustible, fire retardant surfaces such as: Metal backplates, Fire resistant boards (e.g., cement board, gypsum board with fire rating), Concrete or masonry walls.",HIGH,Distribution Panel,IE & PE department,FIRE,Design & Engineering,,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
85,CEA 2023 MSES Reg 43,R&D PDB RCCB to be provided.,"Provide a 30 mA RCCB (Residual Current Circuit Breaker) on the R&D Power Distribution Board to: Protect personnel from electric shock by detecting earth leakage currents, Enhance fire safety by tripping on leakage faults, Comply with electrical safety regulations.",HIGH,Distribution Panel,R&D Office,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
86,Good Engineering Practice,R&D PDB near fire hydrant hose.,"Ideally, relocate the Power Distribution Board (PDB) to a safe distance from the fire hydrant hose. Maintain a minimum clearance of 1.5 to 2 meters between electrical panels and any fire water source. Ensure the new location meets clearance, accessibility, and ventilation requirements.",LOW,Distribution Board,R&D Office,SHOCK,Design & Engineering,/content/word_images/86_obs.jpeg,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
87,CEA 2023 MSES Reg 43,Socket near store found open neutral.,Disconnect the socket from the power supply until the issue is rectified. Label it as “Unsafe Do Not Use” to prevent accidental use. Reconnect or replace wiring to ensure a continuous and secure neutral path.,HIGH,Socket,R&D Maintenance,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
88,IS 12943,I/C from R&D PDB LDB gland dummy opening observed.,"Install a non conductive, fire retardant dummy gland or plug to securely seal the open entry point. Ensure the dummy is compatible with the gland size and type. This prevents moisture, dust, or vermin ingress which could lead to short circuits or equipment failure.",MEDIUM,Gland,Proto and Validation shop,SHOCK,Maintenance Complication,,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
89,CEA 2023 MSES Reg 14,Outgoing cables tapping has been done.,"Remove all tapped connections from outgoing cables. Tapping should not be practiced, especially without: Proper connectors, Load calculations, Protection coordination.",HIGH,Cable,Proto and Validation shop,FIRE,Maintenance Complication,,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
90,IS 2189,Smoke detectors not working.,"Inspect and identify faulty detectors. Replace batteries (if battery operated) or check power supply. If detectors are damaged or obsolete, replace with new, compliant units. Use approved smoke detector testers (aerosol or heat tools), to confirm: Visual indicator (LED) activates. Signal is received at the Fire Alarm Control Panel (FACP). Alarm sounders activate.",MEDIUM,Detector,M&M intercoms,FIRE,Maintenance Complication,/content/word_images/90_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
91,Good Engineering Practice,Battery blue phase cable excessive bending.,"Ensure Cable Bend Radius Meets Standard Requirements. If space is constrained, re route the cable through a path that allows smooth bending, Use cable trays or saddles to support the cable and maintain uniform curvature.",LOW,Battery,M&M intercoms,FIRE/SHOCK,Maintenance Complication,/content/word_images/91_obs.jpeg,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
92,"CEA MSES 2023 Reg 14,21",AC condensed water tripping on electrical panel.,Repair or reroute the AC drainage system. Ensure the drainage is directed away from all electrical equipment. Relocate the AC unit or the electrical panel to avoid proximity. Maintain a minimum horizontal and vertical clearance between AC units and electrical panels to prevent future issues.,HIGH,AC,M&M intercoms,SHOCK,Maintenance Complication,/content/word_images/92_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
93,Good Engineering Practice,No mobile restriction board.,"Erect clearly visible boards stating: “No Mobile Phones Beyond This Point”, Or “Mobile Phones Strictly Prohibited in HSD Area”. Along with mobile phone restriction, also prohibit: Smoking, Open flames, Unauthorized electrical tools.",LOW,Board,HSD Yard near canteen,STATIC,Design & Engineering,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
94,IS 7689 - 1989,Go No Go system to be provided.,"Provide ESD (Electrostatic Discharge) control stations at all HSD yard entrances, which include: A conductive mat or plate for personnel to touch or step on, A wrist strap or palm touch system that discharges static safely to earth, A Go No Go indicator (Green = Safe, Red = Charged) that signals whether entry is permitted.",MEDIUM,Static Discharge Pad,HSD Yard near canteen,STATIC,,,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
95,IS 3043,Earth ride not working.,Inspect the system for faults in: Grounding cables. Earth terminals/clamps. Resistance to earth. Replace any damaged parts immediately to restore functionality. Add a visual/audible Go No Go interlock system to ensure fuel transfer does not start until proper grounding is confirmed. The system should prevent activation of pumps if grounding is faulty.,MEDIUM,Earth Ride System,HSD Yard near canteen,STATIC,,,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
96,IEC 60079-1,Flame proof pump starter align key screw missing.,"Use only manufacturer approved flameproof rated screws (same thread, length, and material). Never use makeshift or non matching fasteners. Ensure correct torque is applied during reinstallation to maintain the gas tight flame path.",MEDIUM,Pump,HSD Yard near canteen,STATIC,Maintenance Complication,,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
97,CEA 2023 MSES Reg 21,AC is provided with C25 A MCB.,"Typical 1.5 2.0 Ton ACs draws 7 12 A max — which does not require a 25A breaker. And if the load is <15A, a C16 A MCB is more appropriate.",HIGH,AC,OHC Area,FIRE/SHOCK,Design & Engineering,,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
98,CEA 2023 MSES Reg 43,All sockets earth missing.,"Until earthing is provided and verified, mark sockets as “Do Not Use Earth Missing”, Prevent use of medical or electrical devices in unearthed sockets. Install dedicated earth wires (green/yellow) from sockets to the nearest earth bus bar or earth pit. Ensure earth continuity is intact across all sockets.",HIGH,Socket,OHC Area,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
99,CEA 2023 MSES Reg 43,Outside Recoup room phase neutral reverse socket.,"Open the socket and verify connections: Phase (live) should be connected to the right terminal (marked L), Neutral should go to the left terminal (marked N), Earth to the top/bottom terminal (marked ⏚ or E). Perform a socket polarity test on all outlets in the Recoup Room (and adjacent areas if on the same circuit).",HIGH,Socket,OHC Area,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
100,,D.Koteswara Rao Room socket phase & neutral reverse.,"Open the socket and verify connections: Phase (live) should be connected to the right terminal (marked L), Neutral should go to the left terminal (marked N), Earth to the top/bottom terminal (marked ⏚ or E). Perform a socket polarity test on all outlets in the Room (and adjacent areas if on the same circuit).",HIGH,Socket,DCM Office,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
101,IS 3043,Earth pit near DMC office vegetation growth is observed.,"Clear grass, weeds, shrubs, and any organic matter manually or using safe herbicides. Maintain a minimum 1 meter clearance radius around the earth pit. Cover the cleared area with: Crushed stone/gravel to suppress regrowth and promote drainage, or Paving tiles for high access zones to allow visibility and maintenance.",MEDIUM,Earthing,DCM Office,SHOCK,Maintenance Complication,/content/word_images/101_obs.jpeg,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
102,IEC 62305,No Surge Protection Device provided.,Select and install a Type 2 SPD (or as recommended by manufacturer) on the power supply line feeding the weigh machine. Ensure the SPD is suitable for the voltage rating and load current of the weighing machine.,MEDIUM,SPD,Weigh Bridge,LIGHTNING,Design & Engineering,,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
103,"NBC 2016, Part 4, Clause 3.4.5.4; 
Clause 3.4.5.6; 
Clause 3.4.6.3",MCC panel cable entry to be closed.,"Recommended to seal all multiple cable pass openings in the Electrical Rooms, UPS Rooms, and Battery Rooms using approved fire rated sealing materials of fire rating minimum 120 mins. to prevent fire and smoke spread. Fire stop solutions such as intumescent sealants, fire rated foam, or fire resistant cable transit systems should be used to ensure compliance with NBC code requirements and fire safety standards. Regular inspections should also be conducted to maintain fire integrity.",MEDIUM,Cable,Cooling Tower panel,FIRE,Design & Engineering,/content/word_images/103_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
